# Number of bins used: 2
# Number of cases packed: 10
# Objective value: 81.8

  case_id    bin-location    orientation    x    y    z    x'    y'    z'
---------  --------------  -------------  ---  ---  ---  ----  ----  ----
        0               1              1   16   12    0     9    38     4
        1               1              1    0    0    0     8    39     4
        1               1              1    8    5    0     8    39     4
        2               2              6   46    4    0     4    52     8
        3               1              1    0    0    4    24    23    14
        4               1              3    0   44    0    12    12     7
        5               2              3   25   40    0    21    16    11
        6               1              1    8   23    7    15    29    10
        7               2              1   25    0    8    24    36    10
        8               2              1   25    0    0    21    39     7
